iter	Logloss
0	0.6868167324
1	0.6821298381
2	0.6770586087
3	0.6730267008
4	0.6686060316
5	0.6645797613
6	0.6607273247
7	0.6569237163
8	0.6530422065
9	0.6498625544
10	0.6460951478
11	0.6420867687
12	0.6393226682
13	0.635722619
14	0.6335401695
15	0.6300412244
16	0.6262699972
17	0.6228807289
18	0.6205249117
19	0.6180016438
20	0.6153293289
21	0.613210151
22	0.6107612435
23	0.6069780423
24	0.6044237909
25	0.6026386756
26	0.6001196475
27	0.5977799044
28	0.596458703
29	0.595320141
30	0.5935395918
31	0.5919193646
32	0.5892086116
33	0.5864608182
34	0.5845315482
35	0.5825963144
36	0.5806164458
37	0.57835712
38	0.5761351141
39	0.5743673776
40	0.5728573399
41	0.5717951418
42	0.5709516918
43	0.5695250999
44	0.5677099796
45	0.5655192368
46	0.563408259
47	0.5615951888
48	0.5599695104
49	0.5591466074
50	0.5577022174
51	0.5562035946
52	0.5549958906
53	0.5533371321
54	0.5517661058
55	0.5504472339
56	0.5489135742
57	0.5474016728
58	0.5467066175
59	0.5454440284
60	0.5441784575
61	0.5432381433
62	0.5420643115
63	0.541067202
64	0.5398232496
65	0.5388968198
66	0.5378363922
67	0.5365694701
68	0.5356529644
69	0.5344734483
70	0.5330214639
71	0.531133148
72	0.5292019211
73	0.5275330988
74	0.5263785559
75	0.5250736149
76	0.5238110724
77	0.5224991427
78	0.5213986462
79	0.5201768249
80	0.5190521939
81	0.5178609368
82	0.5172110288
83	0.516238613
84	0.5153405109
85	0.5137950635
86	0.5126108417
87	0.5112614057
88	0.5099729116
89	0.5090997361
90	0.5082535372
91	0.5075465544
92	0.5060641456
93	0.5054670727
94	0.5046868477
95	0.503434835
96	0.5023078278
97	0.501096676
98	0.5001181566
99	0.4982799268
100	0.4969388307
101	0.4957914629
102	0.4950040162
103	0.4935933586
104	0.4927281503
105	0.4913853303
106	0.4903288164
107	0.4899010578
108	0.4883496466
109	0.4867764306
110	0.4856237979
111	0.4843322288
112	0.4832629488
113	0.4819049864
114	0.4805629119
115	0.4793296756
116	0.4781424253
117	0.4771056663
118	0.4764257999
119	0.4757294866
120	0.4746266139
121	0.4739784765
122	0.4733247014
123	0.4720932822
124	0.4714004633
125	0.4703306708
126	0.4689721493
127	0.4682148475
128	0.4674663049
129	0.4666284459
130	0.4658026076
131	0.4650193542
132	0.4641689621
133	0.4629267336
134	0.4614613307
135	0.4598588084
136	0.4591032771
137	0.458008558
138	0.4571530408
139	0.455726309
140	0.4541867322
141	0.4535246638
142	0.4524424313
143	0.4516974296
144	0.4510746847
145	0.4502438145
146	0.4491206744
147	0.4483286151
148	0.4475021246
149	0.4465298019
150	0.4458350728
151	0.4450576899
152	0.4438938752
153	0.4432321796
154	0.4420305325
155	0.4411243235
156	0.4396942838
157	0.4384885832
158	0.4377359405
159	0.436314427
160	0.4353021753
161	0.4344637106
162	0.4339519006
163	0.4333851123
164	0.4326988162
165	0.4310782629
166	0.4298294184
167	0.4288479172
168	0.4282714378
169	0.4273319623
170	0.4263473394
171	0.425429995
172	0.4243727822
173	0.4235559827
174	0.4227138374
175	0.4222393473
176	0.4215054345
177	0.4208196043
178	0.4198970882
179	0.4195537072
180	0.418718504
181	0.4181172844
182	0.4173795045
183	0.4163392511
184	0.4152990443
185	0.4143960035
186	0.4137153451
187	0.4125241345
188	0.4113030121
189	0.4104437209
190	0.4095601089
191	0.4088845289
192	0.4083524981
193	0.4078798716
194	0.4066514343
195	0.4053341465
196	0.4044729451
197	0.4034947985
198	0.4028739172
199	0.4020545086
200	0.4013629477
201	0.4005444709
202	0.3998733637
203	0.3991271507
204	0.3985615272
205	0.3974823697
206	0.3963930086
207	0.3959481509
208	0.3953548519
209	0.3946441883
210	0.3938771488
211	0.3932414979
212	0.3925591156
213	0.3919038496
214	0.3913710267
215	0.3906708928
216	0.3898874064
217	0.3894598575
218	0.3882373373
219	0.3876099798
220	0.3869560416
221	0.3861286192
222	0.3855226473
223	0.3842942565
224	0.383594146
225	0.3828396863
226	0.3821187027
227	0.3813160205
228	0.3800674555
229	0.3791869185
230	0.378208702
231	0.3776540975
232	0.376764312
233	0.3758076675
234	0.3750781343
235	0.3744678293
236	0.3739283205
237	0.3731063493
238	0.3723516799
239	0.3718554082
240	0.3709491293
241	0.3705050403
242	0.369606053
243	0.3686606837
244	0.367938512
245	0.3672374929
246	0.3659592024
247	0.3652374268
248	0.3643220858
249	0.362912989
250	0.3621726932
251	0.3615709844
252	0.3611510765
253	0.360357899
254	0.3598267766
255	0.3590212756
256	0.3584536021
257	0.3580688942
258	0.3571911062
259	0.356820935
260	0.3563498461
261	0.3556072206
262	0.3546587529
263	0.3541315676
264	0.3535594212
265	0.3528982381
266	0.3521133772
267	0.3515760582
268	0.3507968116
269	0.3499860458
270	0.3491279427
271	0.348558126
272	0.3481765864
273	0.3471793371
274	0.3468592054
275	0.3461579068
276	0.3452706373
277	0.3444580544
278	0.3439854746
279	0.3431292585
280	0.3425540138
281	0.3421534415
282	0.3411783699
283	0.3406371837
284	0.3400268089
285	0.3397680617
286	0.3391081133
287	0.3386533082
288	0.3379931268
289	0.3369901468
290	0.3362376672
291	0.3356955026
292	0.3349494293
293	0.3341990464
294	0.3335614153
295	0.3330282663
296	0.3323575784
297	0.3318349125
298	0.3313928968
299	0.3307430821
